relative_path,title,year,codec,resolution,width,height,fps,duration_sec,size_gb,bitrate_kbps,bpp,status_flag,audio
Downfall.2004.UHD.BluRay.2160p.DDP.5.1.HDR.x265-hallowed/Downfall.2004.UHD.BluRay.2160p.DDP.5.1.HDR.x265-hallowed.mkv,Downfall,2004,HEVC,2160p,3840,2076,24.0,9312.96,20.25,18675.4,0.0976,OPTIMAL,EAC3 6ch
Dr.Strangelove.Or.How.I.Learned.To.Stop.Worrying.And.Love.The.Bomb.1964.2160p.UHD.BluRay.DTS-HD.MA.5.1.HDR.x265-CtrlHD-xpost/Dr.Strangelove.or.How.I.Learned.to.Stop.Worrying.1964.2160p.UHD.BluRay.DTS-HD.MA.5.1.HDR.x265-CtrlHD.mkv,Dr Strangelove Or How I Learned To Stop Worrying And Love The Bomb,1964,HEVC,2160p,3588,2160,23.976,5685.69,28.15,42533.6,0.2289,REFERENCE/HEAVY,DTS 6ch
Dune.Part.Two.2024.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HDR.AV1-CoSMiCSuRFeR/Dune.Part.Two.2024.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HDR.AV1-CoSMiCSuRFeR.mkv,Dune Part Two,2024,AV1,2160p,3840,1608,23.976,9949.02,20.97,18104.7,0.1223,REFERENCE/HEAVY,TRUEHD 8ch
Easy.A.2010.1080p.BluRay.AV1.Opus.5.1-onlyfaffs/Easy.A.2010.1080p.BluRay.AV1.Opus.5.1-onlyfaffs.mkv,Easy A,2010,AV1,1080p,1920,1080,23.976,5544.52,2.66,4114.8,0.0828,RES-ANOMALY,OPUS 6ch
Eternal.Sunshine.of.the.Spotless.Mind.2004.2160p.UHD.BluRay.DTS-HD.MA.5.1.DoVi.HDR.x265-PTer/Eternal.Sunshine.of.the.Spotless.Mind.2004.2160p.UHD.BluRay.DTS-HD.MA.5.1.DoVi.HDR.x265-PTer.mkv,Eternal Sunshine of the Spotless Mind,2004,HEVC,2160p,3840,2076,24.0,6465.72,27.84,36989.1,0.1933,REFERENCE/HEAVY,DTS 6ch
Extraction.2.2023.2160p.NF.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-FLUX/Extraction.2.2023.2160p.NF.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-FLUX.mkv,Extraction 2,2023,HEVC,2160p,3840,2160,24.0,7437.62,17.09,19740.0,0.0992,OPTIMAL,EAC3 6ch
F1.2025.2160p.BluRay.TrueHD.7.1.Atmos.DV.HDR10+.AV1-R and H/F1.2025.2160p.BluRay.TrueHD.7.1.Atmos.DV.HDR10+.AV1-R and H.mkv,F1,2025,AV1,2160p,3840,2160,23.976,9318.31,13.04,12017.2,0.0604,OPTIMAL,TRUEHD 8ch
Fargo.1996.2160p.UHD.BluRay.DTS-HD.MA.5.1.DV.HDR.AV1-RandH/Fargo.1996.2160p.UHD.BluRay.DTS-HD.MA.5.1.DV.HDR.AV1-RandH.mkv,Fargo,1996,AV1,2160p,3840,2160,23.976,5894.86,9.3,13553.1,0.0682,OPTIMAL,DTS 6ch
Fight.Club.1999.UHD.BluRay.2160p.DDP.5.1.DV.HDR10+.x265-hallowed/Fight.Club.1999.UHD.BluRay.2160p.DDP.5.1.DV.HDR10+.x265-hallowed.mkv,Fight Club,1999,HEVC,2160p,3840,1600,23.976,8348.55,18.25,18778.3,0.1275,OPTIMAL,EAC3 6ch
Finding.Nemo.2003.2160p.DSNP.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-Kitsune/Finding.Nemo.2003.2160p.DSNP.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-Kitsune.mkv,Finding Nemo,2003,HEVC,2160p,3840,2160,23.976,6053.22,9.66,13714.3,0.069,STARVED,EAC3 6ch
